"xx","V1","V12","predicted_price"
369,"2015-07-02 07:00:00",69.01,47.0061200814883
370,"2015-06-18 19:00:00",56.05,47.3457868124538
371,"2015-06-24 19:00:00",63.33,48.7170272397213
372,"2015-10-13 15:00:00",54.69,51.5462515860959
373,"2015-04-12 01:00:00",36.7,48.211489800209
374,"2015-05-31 02:00:00",44.63,50.7055417778508
375,"2015-03-29 19:00:00",51,52.2975794042041
376,"2015-06-13 20:00:00",62.13,50.9702305326743
377,"2015-03-16 11:00:00",59.89,52.5233735211417
378,"2015-03-31 09:00:00",52,51.3255561564951
379,"2015-10-19 03:00:00",43,53.3252934721238
380,"2015-09-14 07:00:00",58.81,55.3907019209056
381,"2015-10-18 00:00:00",40,55.7146411598707
382,"2015-06-11 22:00:00",62.69,57.2434826626084
383,"2015-09-03 21:00:00",50,60.2529296864289
384,"2015-06-05 22:00:00",50.89,59.1140232480258
385,"2015-03-13 13:00:00",43.51,56.1619594792424
386,"2015-08-10 21:00:00",61.6,53.2646335306838
387,"2015-08-30 13:00:00",39.72,33.1928190902647
388,"2015-08-10 12:00:00",65.25,36.3652514171498
389,"2015-06-28 14:00:00",46.37,33.3281435462266
390,"2015-01-25 16:00:00",40.5,32.2216352687016
391,"2015-02-16 20:00:00",53.01,36.5560765868175
392,"2015-01-29 07:00:00",54.55,43.9424944337032
393,"2015-03-16 20:00:00",60.1,53.6491341620945
394,"2015-03-30 23:00:00",29.86,55.6020565707864
395,"2015-03-22 19:00:00",59.01,61.338521711699
396,"2015-05-08 21:00:00",58.2,62.1738429571811
397,"2015-03-30 08:00:00",51.08,61.8515248332847
398,"2015-01-10 12:00:00",64.82,63.8777157962182
399,"2015-06-19 22:00:00",46.03,66.891330862987
400,"2015-07-25 09:00:00",58.6,69.5876130432241
401,"2015-06-24 14:00:00",60.03,59.986356906599
402,"2015-05-28 14:00:00",54.05,66.7325278987715
403,"2015-06-29 09:00:00",66.5,46.9017960039007
404,"2015-07-17 17:00:00",67.98,51.8075586586614
405,"2015-03-15 20:00:00",54.32,56.1785818908412
406,"2015-04-01 22:00:00",31.55,58.6823438256791
407,"2015-03-18 02:00:00",37.02,64.6391601808759
408,"2015-03-01 02:00:00",20.01,57.9348280797684
409,"2015-03-04 00:00:00",41,54.920322207169
410,"2015-04-12 03:00:00",31.1,57.2890871428452
411,"2015-01-31 21:00:00",34.6,56.4099287208166
412,"2015-03-15 17:00:00",42.01,53.0802971574165
413,"2015-10-02 13:00:00",51.89,63.003004308065
414,"2015-09-03 15:00:00",60.09,55.1116944261363
415,"2015-06-28 19:00:00",56.6,52.1334848923579
416,"2015-07-04 19:00:00",64.33,52.3425414715457
417,"2015-06-10 17:00:00",60.19,48.2177127000045
418,"2015-07-30 13:00:00",62,47.7377733638527
419,"2015-08-17 13:00:00",64.18,47.0058762085593
420,"2015-08-28 10:00:00",67.1,48.0602165776356
421,"2015-07-02 11:00:00",69.98,47.6260197937286
422,"2015-02-20 06:00:00",57.2,49.247825627185
423,"2015-01-28 07:00:00",68.03,50.5368871670122
424,"2015-01-11 08:00:00",41.5,54.1635529252494
425,"2015-06-28 12:00:00",53.6,54.2650802497544
426,"2015-08-05 14:00:00",58.26,57.9926963810313
427,"2015-06-29 21:00:00",59.75,57.3837377981352
428,"2015-06-26 07:00:00",67,54.8040831724235
429,"2015-10-05 09:00:00",49.16,53.8957419838343
430,"2015-09-22 11:00:00",51.06,52.9071436298264
431,"2015-10-02 12:00:00",56.8,52.8304626885588
432,"2015-09-28 11:00:00",55.1,54.5005598587104
433,"2015-05-11 13:00:00",50,55.3116544194719
434,"2015-07-24 11:00:00",68.98,57.0144997576886
435,"2015-10-04 17:00:00",40,56.2265345041736
436,"2015-10-06 10:00:00",48.04,52.5899140635246
437,"2015-07-30 07:00:00",61.98,53.7798365932589
438,"2015-04-18 14:00:00",32,51.2889594430302
439,"2015-09-23 09:00:00",54.01,49.6371402007372
440,"2015-03-12 12:00:00",47.96,35.9978798762287
441,"2015-06-04 20:00:00",59.95,41.9954428183343
442,"2015-08-16 17:00:00",49.98,40.8557647492115
443,"2015-06-11 14:00:00",60.3,40.3253330809638
444,"2015-07-07 19:00:00",56.4,39.1413091681122
445,"2015-07-13 08:00:00",68.1,38.5217084154977
446,"2015-05-30 10:00:00",54.05,33.8044392073662
447,"2015-07-09 19:00:00",69.48,33.7005382899938
448,"2015-04-30 08:00:00",58.55,35.2766123008837
449,"2015-10-18 02:00:00",41,38.7565367956647
450,"2015-08-18 04:00:00",47.57,54.7389709763148
451,"2015-06-28 02:00:00",45.55,41.1648239775802
452,"2015-08-23 20:00:00",46,41.6481197978004
453,"2015-07-02 20:00:00",65.19,39.0069644986778
454,"2015-09-12 19:00:00",60.01,38.1137994111995
455,"2015-07-06 22:00:00",62.7,39.0955822100393
456,"2015-04-30 17:00:00",49.1,43.4472034878847
457,"2015-03-29 08:00:00",34.5,46.6158884174633
458,"2015-05-07 05:00:00",51.72,48.4513528006817
459,"2015-06-05 01:00:00",44.89,49.2474978950461
460,"2015-03-22 12:00:00",45.7,44.9766687026204
461,"2015-09-14 01:00:00",25.79,46.0089342779256
462,"2015-10-12 23:00:00",38.1,45.6269003843716
463,"2015-03-13 12:00:00",43.28,46.7409442055421
464,"2015-07-04 02:00:00",49.66,47.3672626382772
465,"2015-03-15 14:00:00",39.07,50.1988891240064
466,"2015-07-11 04:00:00",46.73,51.4127927296212
467,"2015-03-01 14:00:00",16.1,45.7609640015463
468,"2015-03-15 13:00:00",43.1,43.4401625471372
469,"2015-08-18 03:00:00",45.7,43.8979143377553
470,"2015-08-01 20:00:00",63.6,42.2567526133116
471,"2015-02-19 17:00:00",61.3,39.042187337862
472,"2015-03-27 03:00:00",28.05,40.4276346146902
473,"2015-02-03 16:00:00",51.1,44.1735974237709
474,"2015-05-15 00:00:00",29.3,48.1054092805607
475,"2015-05-27 04:00:00",39.74,46.7538897825199
476,"2015-04-27 10:00:00",50.35,46.7614434907576
477,"2015-10-19 05:00:00",60.01,44.7536772542419
478,"2015-06-23 22:00:00",55.5,48.2812572137062
479,"2015-06-27 00:00:00",45.69,49.9698171158638
480,"2015-03-17 11:00:00",46.03,53.5165376274965
481,"2015-03-01 13:00:00",23.68,56.7546969906341
482,"2015-06-05 23:00:00",45.06,60.3047756836557
483,"2015-10-12 22:00:00",40,62.5907295181207
484,"2015-07-11 01:00:00",48.2,62.8148212925136
485,"2015-02-18 20:00:00",56.69,64.9567124766684
486,"2015-08-10 13:00:00",64.98,62.7349039595909
487,"2015-02-04 10:00:00",54.1,60.0689200666851
488,"2015-02-01 10:00:00",10,50.6044525401247
489,"2015-02-21 21:00:00",33.4,41.6253840299955
490,"2015-03-28 22:00:00",45.35,43.1870014545086
491,"2015-02-16 21:00:00",49.99,39.5078480668453
492,"2015-04-01 05:00:00",27.51,48.034945125611
493,"2015-03-18 09:00:00",52.61,61.2218609652825
494,"2015-09-21 04:00:00",57.1,66.9807549563961
495,"2015-09-21 06:00:00",59.1,57.4955971890038
496,"2015-10-14 04:00:00",46.05,62.6552415649459
497,"2015-01-15 21:00:00",42.35,46.4284382096262
498,"2015-01-18 15:00:00",42,52.2157381705611
499,"2015-03-02 18:00:00",70.16,49.9531321065363
500,"2015-04-11 10:00:00",55.1,55.7099003605133
501,"2015-07-01 16:00:00",61.1,58.0210379585764
502,"2015-06-29 18:00:00",61.87,47.4194735003271
503,"2015-01-26 19:00:00",69.7,33.2488499837441
504,"2015-08-03 12:00:00",63.49,50.4767341347063
